transformed_content,category
thyme date mon 9 apr 2001 pdt subject spread price 7bit phillip k allen mark taylor mail forward phillip k pm jed hershey jhershey pm pallen cc subject spread price follow price request unfortun unwil transact level due current market volatil consid accur market price offer offer present valu mark market calcul trade follow question call 203 jed hershey contain privileg commun confidenti inform use intend recipi receipt unintend recipi constitut waiver applic privileg read disclosur discuss dissemin distribut copi inform anyon intend recipi employe agent strictli prohibit receiv commun error pleas immedi notifi us delet origin materi comput sempra energi trade set compani sdg e socalga util own set parent compani set regul california public util commiss buy set product servic continu receiv qualiti regul servic util,Business Documents
thyme date mon 9 apr 2001 pdt rlehmann subject 7bit phillip k allen rlehmann mail reagan sent email last week state would san marco friday april 13th howev close postpon mention go cari kipp draw plan resid get back touch finish regard multifamili project go work project manag san antonio first develop project feel comfort experi obtain fha financ work kipp flore final floor plan begin construct draw bid construct compet construct estim still attract firm possibl builder due strong local relationship get back touch made final determin unit mix site plan phillip allen,Business Documents
thyme date mon 9 apr 2001 pdt jacquestc subject 7bit phillip k allen jacquestc enron mail jacqu amount need fill blank exhibit b follow kipp contract paid outstand georg larri paid apprais agre reimburs amount total cash keith pay seller apprais engin could find refer cash consider paid buyer let know need anyth els forward seller execut phillip,Business Documents
thyme date wed 4 apr 2001 pdt rlehmann subject answer list 7bit phillip k allen reagan lehmann rlehmann enron mail thank respons think right engag architect next logic step alreadi contact cari kipp sent floor plan got back yesterday first draft took plan improv go offici engag cari draw plan work want tri work detail specif list also would like visit coupl home built speak 1 2 satisfi home owner san marco friday april 13th home near complet could walk day also provid refer plan spec send adjust bid phillip,Business Documents
thyme date wed 4 apr 2001 pdt subject ee ga desk happi hour 7bit phillip k allen ina rangel mail distribut list send trader phillip forward phillip k fred ect phillip k ect scott ect jame w ee cc subject ee ga desk happi hour happi hour sambuca thursday pleas guest invit anyon desk would interest meet new ga desk team http thank jess,Business Documents
thyme date wed 18 apr 2001 pdt subject present trade track 7bit phillip k allen ina rangel ina ect phillip mail pallen ina pleas forward present mog phillip forward phillip k pm karen enronxg cdt phillip k ect cc subject present trade track hi philip slide preapr assist e mail copi mog heu confer new york thank karen messag allen phillip sent wednesday april 18 2001 buckley karen subject present trade track topic western natur ga market may overhead slide bring handout,Business Documents
thyme date mon 2 apr 2001 pdt subject enron center garag 7bit phillip k allen moniqu sanchez mail forward phillip k pm park transport enron pm sent deshonda hamilton enron brad enron megan enronxg suzann ect john enronxg phillip k ect irma enronxg airam ect berney c ect peggi ect robin ect edward enronxg pam enronxg corri ect patricia enronxg sandra f ect jerri enronxg lisa enronxg michel enronxg eric enron cheryl enronxg jeff ee mark ee kimberli ect gari ect rebecca w ect bob ect carol enronxg carmen enronxg christoph k enronxg morri richard enronxg terri ect karla enronxg ruth ect patrick ect sheri l enronxg edith ect martin ect mike enronxg michael ect peter del ect barbara g enron ect rufino enronxg christin ect tom ect layni enronxg john ect david enronxg noni ect craig enronxg juli enronxg maria ect chri ect monica enronxg chri enron christoph enron ron enron john enron nicki enronxg ranabir enronxg kurt enronxg marsha enronxg robert h enron nanci margaret maria e humberto ee barton ect ned e stinson ect staci enronxg georg n ect mathew ect barbara n ect alisa enronxg robert ect wayn ect mike ect linda r ect cathi l ect tosha ect scott ect nick ect kimberli enronxg dori ect jeffrey ect georgeann enronxg jeff ect brad ect john ect joseph enronxg dan j ect steve ect rhett enronxg patrick ect ami enronxg tana ect peter f ect jeffrey ect brian enronxg kyle ect faith enronxg joe enronxg bruce enron chri enronxg melissa enron lynna enronxg allan enronxg mari enron bruce kim elizabeth ee john commun enron commun jeff enronxg troy enronxg mark ect deb ect heather enronxg kevin ect matthew ect andrew h ect lindsay enronxg blanca enronxg gretchen ect dan ect molli enronxg kelli ect david ect greg ect jennif ect deirdr ect georg enronxg travi ect brad ect brad enronxg lisa ect kim enronxg chri ect mike j ect ect patric l ect yvett enronxg fred ect eric ect janic r ect greg enron steven enron shahnaz enron chri enron kay enron judi enronxg jesu enronxg michael l enron stephani enron veronica kenneth enronxg janet h ect brad ect scott ect gerald ect jess ect mari ect sandi ect roger enronxg ozzi enronxg rhonna enronxg anita k ect laura r ect susan w ect debra ect john ect paul enronxg laura ect david ect joan enronxg dutch ect pat ect ina ect robert w ect andrea ect ami enronxg benjamin ect kevin ect elizabeth ect richard b ect janel enronxg lanc ect sara ect jean enron carolin enronxg richard enronxg michel enronxg steve enronxg mitch enron susan enronxg larri daniel r frank kevin p enron tammi r enronxg cri enronxg hunter ect lisa ect jame ect jeani enronxg gregori p enronxg susan enronxg f enronxg maureen ect shari ect geoff ect fletcher j ect john enronxg ron ect mark ect stephen ect larri enronxg steve van ect hope enronxg brian ect victoria ect charl ect janet h ect samuel ect jason r ect allen ect bill ect stephen enronxg stuart ect georg ect mari enronxg eric enron carl enron shiji enronxg frank w enron greg enronxg becki enron emili enronxg jacquelin p ect jani ect peggi enronxg thresa ect sherri ect kristin enronxg veronica ect susi ect natali ect michael enronxg gloria g ect wilma enronxg dan enronxg richard enronxg anthoni ect sylvia ect betti enronxg jason enronxg marilyn ect audrey ect dian h ect magdelena enronxg bridgett enron walt enronxg david enronxg sherri enronxg rosi enronxg christoph b enron patrick enronxg larri commun enron commun mathi enronxg lawrenc r enronxg rhonda l ect bradley enronxg anna ect kenneth ect karen ect kenneth w enronxg allen enronxg rene enronxg eng enronxg iren ect christoph enronxg jim enronxg clarissa ect lisa ect carolyn ect gerri ect jeffrey c ect michael enronxg victor ect cynthia ect kenneth enronxg susan enronxg elizabeth l ect meredith ect alton ect roberto enronxg jay enron hal enronxg paul enronxg brenda enronxg irma enronxg jim enronxg camil enron sharon enron carolyn enronxg thoma enronxg sam enronxg andrew enronxg katherin enron christoph enronxg jarod enronxg wenyao enronxg kam ect katherin l ect william ect dawn c ect lisa ect victor ect karen ect jenni ect jonathan enronxg lisa ect kori ect duong enronxg shari ect david enronxg mark ect doug enronxg gregori enronxg darren enronxg keith enronxg jacki ect melissa ann ect gari ect michael enronxg joani h ect thu ect angela enronxg jeff enronxg laura enronxg robert w enronxg kara enronxg john enronxg kathi enronxg teresa enron jame enronxg jennif enron thuha enronxg georg enronxg reina enronxg frank commun enron commun william commun enron commun john enronxg kimberli ect richard ect bryan enronxg phillip enronxg lesli ect stacey ect drew enronxg jose ect tammi ect mark l ect sherlyn ect susan ect stephani ect russ ect john enronxg bruce enronxg georg f ect f enronxg mari enronxg sai ect mechel ect patti ect robert ect michael enronxg janett enronxg ryan enronxg mark enron michael k enronxg john enronxg catherin enronxg john enronxg sandi enronxg sean enronxg vanessa enronxg rex enronxg jeffrey enronxg joe enronxg omar enronxg diana enronxg harri enronxg jame commun enron commun mabl enronxg sheri ect alfonso ect susan ect conni enronxg khadiza enronxg adarsh ect rennu enronxg kimberli ect judi ect mari enronxg stacey w ect jason ect scott enronxg ect jeremi enronxg rita ect steve enronxg todd enronxg n jessi enronxg gwendolyn enronxg dejoun enron jeann enron lisa enronxg enronxg ned ect saji commun enron commun francisco pinto barri enron bob enron pamela enron gerri ect cc loui ect raquel enron subject enron center garag enron center garag open soon employe work busi unit schedul move new build current park allen center met garag offer park space new enron center garag offer receiv initi migrat new garag space fill first come first serv basi cost new garag allen center garag current per month less compani subsidi leav monthli employe cost choos accept offer time may add name enron center garag wait list later day offer made space becom avail saturn ring connect garag build open summer initi parker use street level entranc enron center north saturn ring access avail garag stairway next elev lobbi floor may use exit event elev troubl interest accept offer pleas repli via email park transport soon reach decis follow email arrang made turn old park card receiv park transpond along new inform packet new garag park transport desk may reach via email park question must enter exit clay first two week also pedestrian use garag stairwel locat corner bell smith,Business Documents
thyme date thu 29 mar 2001 pst rlehmann subject 7bit phillip k allen rlehmann mail reagan still review number initi thought propos cost plu contract cap role would play obtain financ experi fha 221 loan although fee lower georg larri still get market quot lower yet receiv estim structur follow 5 onsit expens supervis clean equip 2 overhead 4 profit want give initi feedback also attach extrem primit spreadsheet outlin project see even reduc builder fee number project would gener cash flow return 21 thrill low return think need find way get total cost would boost return 31 idea realiz offer signific develop experi plu local connect discount servic offic rest week call earli next week phillip,Business Documents
thyme date thu 29 mar 2001 pst scfatkfa subject 7bit phillip k allen scfatkfa mail cari pictur hous mind go simpl farmhous style place 5 acr near wimberley point might obviou plan doubl porch across back like front dormer metal roof bath stair overal dimens 55 40 look littl design help kitchen cabinet mayb differ shape island way enlarg pantri reagan suggest find way make exterior attract want keep simpl roof line avoid leak think bring left side forward front hous place 1 gabl front might look good exterior stone stucco also front porch would smaller 3 bid builder around readi go ahead plan done spec finish choos builder want give opportun work mention altern thought sinc detail sketch might consid job less reagan allow phillip allen forward phillip k hunter shive cc subject,Business Documents
thyme date thu 29 mar 2001 pst scfatkfa subject nondeliver mail 7bit phillip k allen scfatkfa mail forward phillip k postmast cc subject nondeliver mail cari pictur hous mind go simpl farmhous style place 5 acr near wimberley point might obviou plan doubl porch across back like front dormer metal roof bath stair overal dimens 55 40 look littl design help kitchen cabinet mayb differ shape island way enlarg pantri reagan suggest find way make exterior attract want keep simpl roof line avoid leak think bring left side forward front hous place 1 gabl front might look good exterior stone stucco also front porch would smaller 3 bid builder around readi go ahead plan done spec finish choos builder want give opportun work mention altern thought sinc detail sketch might consid job less reagan allow phillip allen forward phillip k hunter shive cc subject see attach file see attach file,Business Documents
thyme date thu 29 mar 2001 pst scsatkfa subject nondeliver mail 7bit phillip k allen scsatkfa mail forward phillip k postmast cc subject nondeliver mail transcript session follow scsatkfa user email name found receiv microsoft smtpsvc thu 29 mar 2001 receiv esmtp id pab09150 scsatkfa thu 29 mar 2001 gmt receiv esmtp id f2tfg2l03725 scsatkfa thu 29 mar 2001 cst receiv unverifi content technolog smtpr esmtp id tac1c0a2752962e2481 scsatkfa thu 29 mar 2001 scsatkfa date thu 29 mar 2001 serial router releas 14 2000 inlin cari pictur hous mind go simpl farmhous style place 5 acr near wimberley point might obviou plan doubl porch across back like front dormer metal roof bath stair overal dimens 55 40 look littl design help kitchen cabinet mayb differ shape island way enlarg pantri reagan suggest find way make exterior attract want keep simpl roof line avoid leak think bring left side forward front hous place 1 gabl front might look good exterior stone stucco also front porch would smaller 3 bid builder around readi go ahead plan done spec finish choos builder want give opportun work mention altern thought sinc detail sketch might consid job less reagan allow phillip allen forward phillip k hunter shive cc subject see attach file,Business Documents
thyme date thu 29 mar 2001 pst scsatkfa subject 7bit phillip k allen scsatkfa mail cari pictur hous mind go simpl farmhous style place 5 acr near wimberley point might obviou plan doubl porch across back like front dormer metal roof bath stair overal dimens 55 40 look littl design help kitchen cabinet mayb differ shape island way enlarg pantri reagan suggest find way make exterior attract want keep simpl roof line avoid leak think bring left side forward front hous place 1 gabl front might look good exterior stone stucco also front porch would smaller 3 bid builder around readi go ahead plan done spec finish choos builder want give opportun work mention altern thought sinc detail sketch might consid job less reagan allow phillip allen forward phillip k hunter shive cc subject,Business Documents
thyme date wed 28 mar 2001 pst rlehmann subject 7bit phillip k allen rlehmann mail reagan thank quick respons bid resid list question spec frame lumber 2 yellow pine would fir spruce warp less cost type floor joist would use 2x12 sort factori joist type roof frame site built rafter engin truss plan insul floor dampen sound type insul floor ceil batt blown fiberglass cellulos ridg vent vent power turbin bid interior window trim 4 side know differ apron stool anyth special upstair tile floor prevent crack doubl plywood hardi board underlay stair allow bannist think partial one iron 5 feet label plan intend bath stair pedest sink would probabl work undermount sink differ drop in think undermount stainless kitchen undermount cast iron bath 11 1 2 unit assum 2 prewir sound indoor outdoor door drawer pull cabinet bath cabinet exterior porch includ bid cedar deck upstair iron rail type construct contract would use fix price except chang order want get pain detail spec make decis start think readi get plan drawn go call cari kipp see set design meet see like idea phillip,Business Documents
thyme date wed 28 mar 2001 pst jacquestc subject 7bit phillip k allen jacquestc mail jacqu would ok sign new consult agreement engin architect sent agreement payment georg larri made architect written person check amount architect engin wonder prior work even need list asset partnership would like agreement consult partnership wait partnership convey sign name partnership let know think phillip,Business Documents
thyme date tue 27 mar 2001 pst gthors subject 7bit phillip k allen gthors mail greg comment question cost estim cost per squar foot seem low construct gross rentabl cost gener requir repres review builder profit fee mention 2 overhead 3 5 profit profit 4 architect fee 200k thought would 80k 617k profit allow develop profit boost loan amount real cost total close applic cost 350k seem high receiv 2 point much sunk cost fha declin us 1 receiv one point loan statu oper pro forma back envelop put noi 877k assum 5 vacanc 40 expens debt servic would leav 122k coverag would talk afternoon phillip,Business Documents
thyme date mon 26 mar 2001 pst subject ngi access eol 7bit phillip k allen mari griff gray mail grif pleas provid temporari id phillip forward phillip k pm dexter stei dexter pm cc subject ngi access eol hi phillip time month could kind thank dexter dexter stei execut publish intellig press 22648 glenn drive suit 305 sterl va 20164 tel 703 fax 703 http http wrote dexter receiv guest id shortli phillip,Business Documents
thyme date mon 26 mar 2001 pst rlehmann subject 7bit phillip k allen rlehmann mail reagan photograhph hous mind specif featur includ stain score concret floor downstair wood stair two stori porch front rear granit counter kitchen bath tile floor upstair bath metal roof gutter dormer cherri mapl cabinet kitchen bath solid wood interior door window fulli trim crown mold downstair live area 2x6 wall west side undecid item includ vinyl aluminum window wood carpet upstair bedroom game room exterior stucco stone apron window trim rough white brick side fax floor plan dimens may small read overal dimens 55 x 40 total 4400 sq ft roof 3800 livabl space deduct garag save simplic design basic box simpl roof line call question phillip forward phillip k pm hunter shive cc subject,Business Documents
thyme date mon 26 mar 2001 pst jacquestc subject purchas sale agreement 7bit phillip k allen jacquestc enron mail jacqu agreement look fine comment georg larri might object languag bank request financ construct project declin make loan base high cost construct project technic bank lower loan amount base lower estim rent alter amount equiti would requir loan thought less regard exhibit asset includ land architectur plan engin complet apprais soil studi item state partial complet consult speak directli architect engin soil engin unclear best way proceed consult oblig includ fee owe consult need list balanc due list work complet asset give consider cash paid engin appraisor phillip,Business Documents
thyme date mon 26 mar 2001 pst subject current ga desk list 7bit phillip k allen keith holst mike grigsbi frank ermi mail forward phillip k phillip k ect cc subject current ga desk list hope help current ga desk list person address book call question erika group east desk basic group name east desk group type descript member matthew b jame r barend jay paul alain rhonda christina sherri mard l daniel sharon joshua jame owner erika administr erika foreign directori sync allow ye group west desk basic group name west desk group type descript member jesu monica laura r amanda c kyle jess artemio eugen brandon roland rubi roger david joseph de kristann owner erika administr erika foreign directori sync allow ye,Business Documents
thyme date tue 20 mar 2001 pst gthors subject 7bit phillip k allen gthors mail greg note let know offic wed thur kid spring break san marco reach cell phone email pallen70 plan stop see hugo elizondo thursday drop check give green light file replat chang want tri complet project phase need chang go submit citi spoke gordon kohutek morn contract complet soil studi say done report end week know need report told gordon might call inquir work perform number spoke phone issu talk later phillip,Business Documents
thyme date mon 19 mar 2001 pst jacquestc subject buyout 7bit phillip k allen jacquestc mail jacqu larri lewter respons request document support read longer issu think last issu resolv phillip forward phillip k larri lewter llewter cc subject buyout phillip titl compani held escrow return longer issu larri messag mailto sent monday march 19 2001 llewter subject buyout larrri realiz disappoint project desir left pocket expens item list need clarif worth extens mention appli cost land actual repres cash invest land agre refund cash invest request help locat amount close statement document phillip,Business Documents
thyme date mon 19 mar 2001 pst subject approv overdu access request 7bit phillip k allen ina rangel mail ina help approv request phillip forward phillip k arsystem arsystem pm cc subject approv overdu access request request pend approv 9 day pleas click http approv review act upon request request id 000000000021442 request creat date request resourc name market data bloomberg resourc type applic,Business Documents
thyme date fri 16 mar 2001 pst jacquestc subject 7bit phillip k allen jacquestc mail jacqu think reach agreement georg larri pick item valu pay fee time look abl use everyth done engin architectur survey apprais one point unclear claim extens paid appli purchas price land like earnest money would appli look close statement see appli purchas price help clear assum clear need get properti releas keith concern take bishop corner partnership risk could undisclos liabil hand convey partnership would time money saver clean inclin call soon chanc review phillip,Business Documents
thyme date thu 15 mar 2001 pst subject behind stage two 7bit phillip k allen mail forward phillip k pm arthur aod pleas respond aod cc subject behind stage two fyi western price survey contact declar stage two alert morn trigger part decis bonnevil power administr ceas sale california 600 mw mw make past week accord bpa excess energi sell result run water meet biolog opinion flow standard stop order allow reservoir fill runoff agenc said tell california depart water resourc sale could ceas time morn end report mw less import today yesterday appear seller also cut back yesterday powerex said sell california concern water reserv bpa said still send exchang energi california howev detail avail includ friday edit western price survey california energi market newslett,Business Documents
thyme date wed 14 mar 2001 pst pallen70 subject bishop corner buyout 7bit phillip k allen pallen70 mail forward phillip k pm georg richard cbpre pm pleas respond cbpre phillip allen pallen keith holst kholst cc larri lewter llewter claudia crocker clclegal2 subject bishop corner buyout imag imag 8511 horsesho ledg austin tx telephon 512 fax 512 cbpre march 13 2001 phillip allen keith holst enron 1400 smith street houston tx subject bishop corner restructur buyout dear phillip keith prepar sell bishop corner reimburs cash expenditur compens manag servic assumpt note oblig design shown attach summari tabl cash expenditur total exist contract architect civil engin soil test compani apprais total due contract current unpaid invoic due total act good faith invest enorm amount time project five month complet major design major project firm size given top prioriti project delay reject left project two method valu develop manag 1 base percentag minimum fee earn 2 base prior valuat first feel least 25 minimum fee earn second prior correspond valu time per year would mean period worth either valuat seem quit fair reason especi neither includ forfeit 40 interest project worth howev hope maintain good relationship prospect futur project will accept small monthli fee per month cover portion direct time shown attach tabl fee plu cash outlay less accru interest bring total net buyout still believ project need profession servic offer howev accept term buyout offer truli feel quit fair reason prepar bought leav extraordinari project choic either contact us attorney contact attorney claudia crocker later friday attorney draft whatev minim document necessari transfer bishop corner partnership follow receipt buyout amount assumpt outstand profession design contract thank sincer imag georg richard presid copi contract forward upon accept buyout cc larri lewter claudia crocker restructur,Business Documents
thyme date wed 14 mar 2001 pst gthors djack subject 7bit phillip k allen gthors djack mail gentlemen today final receiv inform statu work done date spoke hugo alexandro cuatro consult properti still two parcel hugo complet platt combin one lot readi submit citi san marco also complet topograph survey tree survey addit begun coordin citi replat coupl easement smaller parcel well begin work grade hugo go fax written letter scope work engag complet total cost servic estim due work complet tri resolv issu outstand work bill incur origin develop obtain titl land continu use cuatro would one less point content hugo number thought might want contact directli ask question spoke possibl call fine go tri determin work perform kipp flore use keith appreci meet us sunday left optimist prospect work project call feedback speak hugo idea move project forward phillip,Business Documents
thyme date wed 14 mar 2001 pst jacquestc subject bishop corner buyout 7bit phillip k allen jacquestc mail jacqu georg final sent inform pleas look email want us buy keith think joke still need speak engin find soil studi determin valu go forward believ architect work use us think deserv compens time due fact intent project propos unsupport market version buyout attach need expert advis readi offer version threaten foreclos case due money time sinc cost fee hold versu market execut contract would think would stand chanc time wast want respond offer asap call thought phillip forward phillip k georg richard cbpre pm pleas respond cbpre phillip allen pallen keith holst kholst cc larri lewter llewter claudia crocker clclegal2 subject bishop corner buyout imag imag 8511 horsesho ledg austin tx telephon 512 fax 512 cbpre march 13 2001 phillip allen keith holst enron 1400 smith street houston tx subject bishop corner restructur buyout dear phillip keith prepar sell bishop corner reimburs cash expenditur compens manag servic assumpt note oblig design shown attach summari tabl cash expenditur total exist contract architect civil engin soil test compani apprais total due contract current unpaid invoic due total act good faith invest enorm amount time project five month complet major design major project firm size given top prioriti project delay reject left project two method valu develop manag 1 base percentag minimum fee earn 2 base prior valuat first feel least 25 minimum fee earn second prior correspond valu time per year would mean period worth either valuat seem quit fair reason especi neither includ forfeit 40 interest project worth howev hope maintain good relationship prospect futur project will accept small monthli fee per month cover portion direct time shown attach tabl fee plu cash outlay less accru interest bring total net buyout still believ project need profession servic offer howev accept term buyout offer truli feel quit fair reason prepar bought leav extraordinari project choic either contact us attorney contact attorney claudia crocker later friday attorney draft whatev minim document necessari transfer bishop corner partnership follow receipt buyout amount assumpt outstand profession design contract thank sincer imag georg richard presid copi contract forward upon accept buyout cc larri lewter claudia crocker restructur,Business Documents
thyme date tue 13 mar 2001 pst subject fw 1099 tax question answer 7bit phillip k allen tori kuykendal mail forward phillip k pm benotti stephen pm pallen cc subject fw 1099 tax question answer notic regard entri order instruct pleas transmit order instruct regard painewebb account order instruct transmit accept painewebb painewebb respons carri order instruct notic regard privaci confidenti painewebb reserv right monitor review content commun sent receiv employe 1494,Business Documents
thyme date mon 12 mar 2001 pst subject matt smith 7bit phillip k allen mail forward phillip k mike grigsbi pm phillip k ect cc subject matt smith let matt start follow databas hourli storag activ socal begin forecast hourli daili activ back receipt use iso load actual back real time import get state gen number ga consumpt use temp estim core ga load back test get databas creat help forecast core demand updat socal pg e forecast sheet also break new gen epng tw pipelin mike,Business Documents
thyme date wed 18 apr 2001 pdt subject approv trader list 7bit phillip k allen keith holst keith ect frank ermi frank ect mike grigsbi mike ect phillip mail pallen forward phillip k phillip k ect cc subject approv trader list enron wholesal servic ee ga desk approv trader list name titl region basi black vice presid desk hewitt jess director desk vanderhorst barri director east west shireman kri director west de champ joe director central reynold roger director west migliano andi manag central wiltfong jim manag desk barker jim sr specialist east fleme matt specialist east basi tate paul specialist east basi driscol mard specialist east basi arnold laura specialist central basi blain jay specialist east basi guerra jesu specialist central basi bangl christina specialist east basi smith rhonda specialist east basi boettcher amanda specialist central basi pendegraft sherri specialist east basi rubi robinson specialist west basi diza alain specialist east basi monday april 16 2001 jess hewitt revis approv trader,Business Documents
thyme date thu 8 mar 2001 pst gthors subject sagewood phase ii 7bit phillip k allen gthors mail forward phillip k pm cc subject sagewood phase ii forward andrew pm andrew ozuna pm georg richard cbpre cc subject sagewood phase ii georg thank opportun review financ request sagewood phase ii project upon receipt request inform regard project complet somewhat due dilig market number concern need address prior bank move forward transact first rental rate compar bedroom bedroom basi high rel market adjust downward match market rate rate per bedroom acheiv exist sagewood project addit unit come within next 12 month citi san marco believ caus downward rent pressur seriou effect leverag project therefor adjust request loan amount summar issu follow rental rate adjust downward market follow bank adjust unit unit rent unit rent 2 ba 575 950 475 3 510 417 expens increas includ reserv unit turn market vacanc factor 5 appli potenti gross incom pgi base bank revis project support debt amount maintain loan paramet debt coverag ratio 25 year phantom interest rate debt servic approx given debt borrow requir provid equiti consist follow land defer profit overhead cash equiti total equiti credit defer profit overhead limit percentag actual hard construct cost see attach file,Business Documents
thyme date wed 7 mar 2001 pst djack subject san marco 7bit phillip k allen darrel jack djack enron mail darrel today let know would proceed excess high cost estim fund take land agreeabl turn land would like proceed develop properti thought compar financ bank one fha would also like compar construct develop servic local builder san marco speak make trip meet take look project seem order tri get statu engin architectur work date architect kipp florr engin quattro consult buda let know opinion either look forward work talk tomorrow phillip,Business Documents
thyme date tue 6 mar 2001 pst subject fw cross commod phillip k allen john j lavorato mail john put frank hayden decis consid author mike frank keith trade power think phillip forward phillip k frank enronxg cst phillip k ect cc subject fw cross commod messag hayden frank sent friday march 02 2001 pm presto kevin zufferli john mckay jonathan belden tim shive hunter neal scott martin thoma allen phillip arnold john subject cross commod import high ask provid updat list author trade soon possibl pleas repli email name author cross respect commod natur ga crude heat gasolin weather precip coal power forex list currenc etc thank frank ps trader limit one commod need includ,Business Documents
thyme date mon 5 mar 2001 pst cbpre subject cc llewter 7bit bcc llewter phillip k allen cbpre llewter mail georg back offic readi focu project still concern last week specif cost project high gather inform support concern base research believ project cost around million compon follow unit cost site work builder profit million land interim financ common area total sinc reagan last 12 unit sell around unabl get comfort build larger project cost also comp use apprais austin appear class properti seem unlik student hous san marco produc rent sale price adjust locat season natur student rental properti recogn sagewood current perform occup rental rate closer apprais pro forma howev believ market sustain level perman basi suppli inevit increas drive market balanc real estat expert houston review proforma cost estim comment apprais overli optimist feel perman financ would potenti around million would even abl cover interim financ keith review project thoroughli agreement proceed total cost estim significantli million would like confer call tuesday afternoon discuss altern phillip,Business Documents
thyme date mon 5 mar 2001 pst cbpre subject cc llewter jacquestc 7bit bcc llewter jacquestc phillip k allen cbpre llewter jacquestc mail georg back offic readi focu project still concern last week specif cost project high gather inform support concern base research believ project cost around million compon follow unit cost site work builder profit million land interim financ common area total sinc reagan last 12 unit sell around unabl get comfort build larger project cost also comp use apprais austin appear class properti seem unlik student hous san marco produc rent sale price adjust locat season natur student rental properti recogn sagewood current perform occup rental rate closer apprais pro forma howev believ market sustain level perman basi suppli inevit increas drive market balanc real estat expert houston review proforma cost estim comment apprais overli optimist feel perman financ would potenti around million would even abl cover interim financ keith review project thoroughli agreement proceed total cost estim significantli million would like confer call tomorrow discuss altern phillip,Business Documents
thyme date sun 4 mar 2001 pst subject enron march basdeload fix price physic deal attach free virus scan mail 7bit phillip k allen mike grigsbi mail forward phillip k pm cc subject enron march basdeload fix price physic deal attach free virus scan mail sorri deadlin pass enron deal yesterday includ survey pm lian magnew cc subject enron march basdeload fix price physic deal attach free virus scan mail send even calc book probabl around pm ann pm cc subject enron march basdeload fix price physic deal attach free virus scan mail ann plan send today bidweek deal soon need know whether transfer everyth data base thank lian kucher,Business Documents
thyme date sat 24 feb 2001 pst stagecoachmama subject 7bit phillip k allen stagecoachmama mail luci question regard rentrol 2 actual paid 150 deposit move date rentrol see 9 explain deposit rent transfer 41 start pay 9 15 sinc good tenant long stop tri collect 95 question 33 miss rent still 26 see paid deposit file say move ever paid rent ca find last three deposit 44 paid februari payment sinc begin year 33 email said paid 140 plu 14 late fee see deposit last three question add 1200 miss rent need figur immedi email new file attach last three rentrol case need research question offic next week get connect might abl email pallen70 otherwis tri work gari press issu emerg call phillip,Business Documents
thyme date fri 23 feb 2001 pst subject sagewood ii 7bit phillip k allen keith holst mail forward phillip k pm cc subject sagewood ii phillip georg richard ask drop line morn go detail san marco project first know receiv person financi statement keith want make sure credit includ princip transact second without forward typic loan cost ltc rang 75 80 propos loan valu 75 within accept rang typic deal given perform sagewood townhom structur deal credit offic 80 ltc cours subject credit offic sign deal bank give dollar dollar equiti credit develop defer profit typic past deal 10 total project budget defer profit accept thank andrew ozuna real estat loan offic,Business Documents
thyme date wed 13 dec 2000 pst pallen pkaufma subject 7bit phillip k allen christi l nicolay jame steff jeff dasovich joe hartso mari hain pallen pkaufma richard b sander richard shapiro stephani miller steven j kean susan j mara rebecca w cantrel mail attach two file illustr follow price rose suppli increas demand decreas price begin fall respons market respons,Business Documents
thyme date fri 23 feb 2001 pst subject new gener report januari 2001 7bit phillip k allen barri tycholiz mail forward phillip k jeffrey oh phillip k ect juli ect tim ect robert ect matt ect mike ect jim ect david ect ccalger jim ect elliot ect jeffrey ect todd ect laird ect michael ect ed ect dave ect alan ect michael ect john ect stewart ect jeff ect cc subject new gener report januari 2001,Business Documents
thyme date thu 22 feb 2001 pst subject recess scenario impact power ga 7bit phillip k allen mike grigsbi keith holst frank ermi mail forward phillip k enron north america frank hayden enron pm tim ect kevin ect phillip k ect scott ect hunter ect john ect john j louis ect thoma ect vladimir ect cc subject recess scenario impact power ga attach cera present regard recess impact feel free call listen discuss slide approx 20min cera forecast recess impact enough allevi problem frank call number passcod 647083,Business Documents
thyme date wed 21 feb 2001 pst pallen70 subject sm134 7bit phillip k allen pallen70 mail forward phillip k pm georg richard cbpre pleas respond cbpre phillip allen pallen cc larri lewter llewter subject sm134 updat cost princip chang addit masonri front build estim cost least addit also trim materi labor cost increas still believ total cost suffici addit updat manag unit column total includ b n total rentabl unit rather total cost manag unit offic includ lump sum amen may add back rentabl unit delet amen financ cost chang cost perman mortgag delet need obtain construct loan approv therefor cost absorb loan obtain base either loan equal 75 valu 80 cost construct profit cover equiti requir beyond land georg richard creeksid builder llc sm134,Business Documents
thyme date wed 21 feb 2001 pst subject weekli statu meet 7bit phillip k allen keith holst mail forward phillip k pm georg richard cbpre pm pleas respond cbpre keith holst kholst phillip allen pallen cc larri lewter llewter subject weekli statu meet phillip keith cold mine get better would possibl reschedul meet tomorrow pleas repli time open day need get rest afternoon georg richard creeksid builder llc,Business Documents
